#examples trained on	cross entropy
32	3.3701934814453125
352	3.122168290419256
672	2.1580458982434467
992	1.5724358127508722
1312	1.201499112012019
1632	0.9393723977650665
1952	0.7749804085817348
2272	0.6827623214142863
2592	0.5922457630518889
2912	0.5436943439302727
3232	0.5356498229297924
3552	0.48457589739652485
3872	0.4258827927928725
4192	0.4418340973528956
4512	0.42035185596753494
4832	0.3743829352189076
5152	0.3278506015772134
5472	0.3051400092860152
5792	0.2817317253820985
6112	0.25390650463455344
6432	0.2310930073052664
6752	0.20699691102586976
7072	0.18137162341925728
7392	0.15237643271826665
7712	0.14028956680649768
8032	0.1387915256324335
8352	0.11330556281415584
8672	0.13048861607253343
8992	0.1823731492877888
9312	0.1560336475563796
9632	0.1246485530837386
9952	0.17679829272026062
10272	0.17966183248620235
10592	0.20969488239292391
10912	0.19875051131753996
11232	0.1881969375392828
11552	0.21559804123219856
11872	0.1808163202819024
12192	0.14546717223312158
12512	0.14301645379795075
12832	0.12243837491632753
13152	0.09104055627444912
13472	0.07158321629088439
13792	0.05051474521619857
14112	0.03815371558569047
14432	0.03490851351560434
14752	0.033139478517256474
15072	0.04385193768044655
15392	0.042114069978344104
15712	0.04566387284568489
16032	0.03319819249008365
16352	0.027199814038079934
16672	0.022015774240240846
16992	0.015731228056079245
17312	0.010205852075893229
17632	0.008456588778969702
17952	0.005767542498537435
18272	0.004274172635689686
18592	0.0029574922136344295
18912	0.0024600069132597975
19232	0.0018830100946751413
19552	0.001478999898833447
19872	0.0011020939316454305
20192	0.0008146808266769406
20512	0.0006139943976719375
20832	0.000579688755573411
21152	0.0005995163579459832
21472	0.0004930153366901528
21792	0.00036717797815862365
22112	0.0003007445884907357
22432	0.0002820871352732379
22752	0.00021519201296891564
23072	0.00017372776155506135
23392	0.000255348655786095
23712	0.0002143688323929504
24032	0.00014873799566515278
24352	0.00011087854252662488
24672	0.00010743109802578882
24992	8.14247732685759e-05
25312	6.221714857830656e-05
25632	6.655695215847113e-05
25952	6.427806490392285e-05
26272	5.9290168965903135e-05
26592	5.131154013009962e-05
26912	7.213225138668272e-05
27232	5.486660178980654e-05
27552	4.1530882897189796e-05
27872	3.9282549054622725e-05
28192	3.5207243498494646e-05
28512	3.0320692627428293e-05
28832	2.5233062065641327e-05
29152	2.8326395338884164e-05
29472	2.6136844416150496e-05
29792	2.149893009659752e-05
30112	2.643380877294469e-05
30432	2.1875613016536567e-05
30752	1.8866195433273936e-05
31072	1.4561386342624925e-05
31392	2.8829143960533244e-05
31712	2.9696869149839907e-05
32032	2.2449792798164596e-05
32352	1.767801936703163e-05
32672	1.588242062488285e-05
32992	1.4359493810609085e-05
33312	1.7400010731629763e-05
33632	1.4310988333666727e-05
33952	1.5147908213737097e-05
34272	1.2337123286518514e-05
34592	1.0630509258529155e-05
34912	1.1403167820159981e-05
35232	9.843727348841611e-06
35552	1.2210997030052025e-05
35872	1.159101703193518e-05
36192	1.1687808894733061e-05
36512	9.375569363778322e-06
36832	1.446936875271949e-05
37152	1.4332930476714674e-05
